"Barangay","Country","Address","Population","location__latitude","location__needs_recoding","location__longitude"
"AMIHAN","PHILIPPINES","#13 Palosapis St., Proj. 3","4788","14.632957","False","121.067015"
"BAGUMBAYAN","PHILIPPINES","#6 San Roque St.","13832","14.605702","False","121.08362"
"BAGUMBUHAY","PHILIPPINES","Gen. Malvar St., Project 4","6767","14.635457","False","121.090967"
"BAYANIHAN","PHILIPPINES","#553 Pelaez St., Proj. 4","1222","14.61563","False","121.069065"
"BLUE RIDGE A ","PHILIPPINES","#13 Cliff Drive ","1730","14.622792","False","121.074339"
"BLUE RIDGE B","PHILIPPINES","Moonlight Loop St.","1701","14.618657","False","121.074562"
"CAMP AGUINALDO","PHILIPPINES","Gozar St., Road., West Castaneda, CGEA","4977","14.602426","False","121.060917"
"CLARO (QUIRINO 3-B)","PHILIPPINES","#20 Almon St., Proj. 3","4432","14.632474","False","121.065153"
"DIOQUINO ZOBEL","PHILIPPINES","Lizardo St., 20th Ave.","1887","14.619608","False","121.064704"
"DUYAN-DUYAN ","PHILIPPINES","Kalantas St., cor. Kamagong St.","3870","14.630512","False","121.066633"
"E. RODRIGUEZ","PHILIPPINES","#40 Purdue St., Cubao","19594","14.628071","False","121.052315"
"EAST KAMIAS","PHILIPPINES","K-10th St., cor. Kasing-kasing St.","6206","14.631607","False","121.05732"
"ESCOPA I ","PHILIPPINES","#51 Escopa I, along P. Burgos St.","2221","14.624536","False","121.074025"
"ESCOPA II ","PHILIPPINES","Escopa II Proper","1766","14.624399","False","121.074714"
"ESCOPA III","PHILIPPINES","PUD Site Escopa III ","8554","14.627542","False","121.072678"
"ESCOPA IV","PHILIPPINES","Block 4 Lot 20 Escopa IV, Proj. 4 ","1919","14.625119","False","121.073887"
"LIBIS","PHILIPPINES","E. Rodriguez Sitio 2 ","4018","14.615805","False","121.074958"
"LOYOLA HEIGHTS","PHILIPPINES","Park 9 St., Esteban Abada","18884","14.641133","False","121.074375"
"MANGGA","PHILIPPINES","#4-3C Private Compound., 20th Ave. ","1158","14.668591","False","121.057108"
"MARILAG ","PHILIPPINES","Plaza Camerino Compound Proj. 4","9812","14.625087","False","121.068794"
"MASAGANA ","PHILIPPINES","#7 Callejon Conchu St., Proj. 4 ","4421","14.617681","False","121.066033"
"MATANDANG BALARA","PHILIPPINES","252 Calderon St., Commonwealth Ave.","71022","14.66792","False","121.077031"
"MILAGROSA","PHILIPPINES","Tirona St., Proj. 4 ","6130","14.621221","False","121.071026"
"PANSOL","PHILIPPINES","Plaza St.","34240","14.645","False","121.050551"
"QUIRINO 2-A ","PHILIPPINES","Chico cor. Kubili St., Project 2","5520","14.630994","False","121.058539"
"QUIRINO 2-B ","PHILIPPINES","Paco cor. Langka St.","3612","14.581666","False","120.997168"
"QUIRINO 2-C ","PHILIPPINES","#179 Bignay St., Project 2","2830","14.635929","False","121.06299"
"QUIRINO 3-A ","PHILIPPINES","#17 Anonas St., Proj. 3 ","1141","14.628714","False","121.062979"
"SAN ROQUE","PHILIPPINES","#85 19th Ave., Diego Silang St.","20095","14.617802","False","121.063817"
"SILANGAN","PHILIPPINES","#193 Ermin Garcia St., cor. Kalayaan St","5036","14.629165","False","121.056047"
"SOCORRO","PHILIPPINES","15th Ave. cor. Boni Serrano St., Cubao","25073","14.618824","False","121.060173"
"ST. IGNATIUS","PHILIPPINES","Riverside St.","2005","14.693267","False","121.08456"
"TAGUMPAY ","PHILIPPINES","2-B P. Tuazon St., Proj. 4 ","2208","14.62182","False","121.06433"
"UGONG NORTE","PHILIPPINES","Gate 1, Corinthian Garden","9953","14.595757","False","121.065041"
"VILLA MARIA CLARA ","PHILIPPINES","Alimudin St., Proj. 4","2393","14.618921","False","121.068819"
"WEST KAMIAS","PHILIPPINES","#2 K-10th St., West Kamias","4918","14.628865","False","121.047841"
"WHITE PLAINS","PHILIPPINES","Gold Star St.","4734","14.698265","False","121.052408"
